Beds,Bath,Sqft,Price,Address,Province,Region,Latitude,Longitude,Location
3.0,2.0,3100.0,795000.0,15 bridle path ,PE,Atlantic region,,,NaN
3.0,1.0,1092.0,334900.0,54 allan cook lane ,PE,Atlantic region,,,NaN
3.0,1.0,1116.0,329900.0,55 allan cook lane ,PE,Atlantic region,,,NaN
2.0,2.0,1500.0,539000.0,"south beach lane, lot 25 ",PE,Atlantic region,,,NaN
3.0,1.0,1008.0,349900.0,67 bearisto dr ,PE,Atlantic region,,,NaN
3.0,2.0,1600.0,514800.0,28 keaton drive ,PE,Atlantic region,,,NaN
2.0,1.0,768.0,115000.0,burlington rd - to be moved ,PE,Atlantic region,,,NaN
6.0,3.0,2169.0,489900.0,440 john beer ,PE,Atlantic region,,,NaN
2.0,3.0,1190.0,279000.0,4436 alleys mill road ,PE,Atlantic region,,,NaN
3.0,2.0,2219.0,379500.0,12983 st peters road|rte 2,PE,Atlantic region,,,NaN
4.0,2.0,2304.0,459000.0,9 west haven crescent ,PE,Atlantic region,,,NaN
3.0,3.0,2300.0,599900.0,28 keaton drive ,PE,Atlantic region,,,NaN
3.0,3.0,3339.0,429000.0,7 camp tamawaby road|route 131,PE,Atlantic region,,,NaN
2.0,2.0,1500.0,539000.0,south beach lane lot 25,PE,Atlantic region,,,NaN
4.0,3.0,2482.0,529950.0,lot 15 cormac crescent ,PE,Atlantic region,,,NaN
5.0,4.0,5345.0,1230000.0,23 donegal lane ,PE,Atlantic region,,,NaN
3.0,1.0,1735.0,300000.0,1534 loyalist road|route 256,PE,Atlantic region,,,NaN
3.0,1.0,2227.0,510000.0,9692 st. peters road|route 2,PE,Atlantic region,,,NaN
3.0,3.0,1902.0,524950.0,lot 18 cormac crescent ,PE,Atlantic region,,,NaN
3.0,3.0,2885.0,999999.0,93 fariview drive ,PE,Atlantic region,,,NaN
3.0,2.0,1226.0,330000.0,174 putters lot 22,PE,Atlantic region,,,NaN
6.0,3.0,2878.0,277000.0,1522 spring valley road ,PE,Atlantic region,,,NaN
3.0,2.0,1288.0,353950.0,32 langille court ,PE,Atlantic region,,,NaN
